Quantity,Country,VATRate,ExpectedVAT,ExpectedTotal
1,Austria,20.0,$33.00,$204.00
9,Austria,20.0,$289.00,$1740.00
1,Belgium,21.0,$34.65,$205.65
9,Belgium,21.0,$303.45,$1754.45
1,Bulgaria,20.0,$33.00,$204.00
9,Bulgaria,20.0,$289.00,$1740.00
1,Croatia,25.0,$41.25,$212.25
9,Croatia,25.0,$361.25,$1812.25
1,Cyprus,19.0,$31.35,$202.35
9,Cyprus,19.0,$274.55,$1725.55
1,Czech Republic,21.0,$34.65,$205.65
9,Czech Republic,21.0,$303.45,$1754.45
1,Denmark,25.0,$41.25,$212.25
9,Denmark,25.0,$361.25,$1812.25
1,Estonia,20.0,$33.00,$204.00
9,Estonia,20.0,$289.00,$1740.00
1,Finland,24.0,$39.60,$210.60
9,Finland,24.0,$346.80,$1797.80
1,France,20.0,$33.00,$204.00
9,France,20.0,$289.00,$1740.00
1,Germany,19.0,$31.35,$202.35
9,Germany,19.0,$274.55,$1725.55
1,Greece,24.0,$39.60,$210.60
9,Greece,24.0,$346.80,$1797.80
1,Hungary,27.0,$44.55,$215.55
9,Hungary,27.0,$390.15,$1841.15
1,Ireland,23.0,$37.95,$208.95
9,Ireland,23.0,$332.35,$1783.35
1,Italy,22.0,$36.30,$207.30
9,Italy,22.0,$317.90,$1768.90
1,Latvia,21.0,$34.65,$205.65
9,Latvia,21.0,$303.45,$1754.45
1,Lithuania,21.0,$34.65,$205.65
9,Lithuania,21.0,$303.45,$1754.45
1,Luxembourg,17.0,$28.05,$199.05
9,Luxembourg,17.0,$245.65,$1696.65
1,Malta,18.0,$29.70,$200.70
9,Malta,18.0,$260.10,$1711.10
1,Netherlands,21.0,$34.65,$205.65
9,Netherlands,21.0,$303.45,$1754.45
1,Poland,23.0,$37.95,$208.95
9,Poland,23.0,$332.35,$1783.35
1,Portugal,23.0,$37.95,$208.95
9,Portugal,23.0,$332.35,$1783.35
1,Romania,19.0,$31.35,$202.35
9,Romania,19.0,$274.55,$1725.55
1,Slovakia,20.0,$33.00,$204.00
9,Slovakia,20.0,$289.00,$1740.00
1,Slovenia,22.0,$36.30,$207.30
9,Slovenia,22.0,$317.90,$1768.90
1,Spain,21.0,$34.65,$205.65
9,Spain,21.0,$303.45,$1754.45
1,Sweden,25.0,$41.25,$212.25
9,Sweden,25.0,$361.25,$1812.25